layer,strategy,group_size,quantized_side,certificate_type,valid_tiles,actual_sparsity,naive_mismatch_rate,false_drop_rate,false_keep_rate,refinement_rate,certimask_exact_match_rate,certificate_violations,bound_p50,bound_p90,bound_p99,margin_over_bound_p50,margin_over_bound_p90,score_error_p50,score_error_p90,score_error_p99,rho_p50,rho_p90,rho_p99,rho_max,refinement_reduction_vs_baseline,naive_mismatch_reduction_vs_baseline
2,baseline_per_vector_qk_coordinate_analytic,0,qk,analytic,29120,0.8658653846153846,0.025274725274725275,0.006009615384615385,0.01926510989010989,0.4210508241758242,1.0,0,1.6919324398040771,2.278177261352539,2.4584155082702637,1.181919813156128,3.0858049392700195,0.09627151489257812,0.2571386396884918,0.44464927911758423,16.310718536376953,87.4125747680664,902.0970458984375,1134384775168.0,0.0,0.0
2,qk_per_group_g32_coordinate_analytic,32,qk,analytic,29120,0.8658653846153846,0.024210164835164836,0.0057692307692307696,0.018440934065934066,0.36998626373626375,1.0,0,1.5313148498535156,2.033785581588745,2.183845281600952,1.3379801511764526,3.6144046783447266,0.08283138275146484,0.2304891049861908,0.4015491306781769,16.515174865722656,90.34957122802734,822.060302734375,497359.125,0.051064560439560425,0.0010645604395604392
2,qk_per_group_g16_coordinate_analytic,16,qk,analytic,29120,0.8658653846153846,0.02242445054945055,0.004326923076923077,0.018097527472527474,0.23567994505494505,1.0,0,0.9896810054779053,1.279781460762024,1.3763467073440552,2.0752553939819336,6.084019660949707,0.06433296203613281,0.17544569075107574,0.30623874068260193,13.50799560546875,72.58448791503906,738.4307861328125,158673.609375,0.18537087912087913,0.0028502747252747256
2,qk_per_group_g8_coordinate_analytic,8,qk,analytic,29120,0.8658653846153846,0.02135989010989011,0.004086538461538462,0.01727335164835165,0.18155906593406593,1.0,0,0.7440694570541382,1.0175268650054932,1.0937094688415527,2.774669885635376,8.80742073059082,0.04720926284790039,0.14313238859176636,0.2573411762714386,13.19297981262207,70.98570251464844,733.992919921875,1010647891968.0,0.23949175824175825,0.003914835164835165
2,qk_per_group_g4_coordinate_analytic,4,qk,analytic,29120,0.8658653846153846,0.01868131868131868,0.002197802197802198,0.016483516483516484,0.1490728021978022,1.0,0,0.5780226588249207,0.8045448660850525,0.8746886849403381,3.523665428161621,12.413971900939941,0.022518157958984375,0.1225397139787674,0.2117404341697693,19.275081634521484,108.96672058105469,1053.5177001953125,703225856000.0,0.271978021978022,0.006593406593406594
2,k_only_per_vector_coordinate_analytic,0,k_only,analytic,29120,0.8658653846153846,0.024210164835164836,0.005872252747252747,0.01833791208791209,0.403228021978022,1.0,0,1.5693457126617432,2.228532552719116,2.352205276489258,1.2325680255889893,3.3062007427215576,0.07557392120361328,0.2020980417728424,0.3641408681869507,19.99761390686035,104.36898803710938,1017.9190673828125,531576.25,0.01782280219780219,0.0010645604395604392
2,k_only_per_group_g16_coordinate_analytic,16,k_only,analytic,29120,0.8658653846153846,0.020432692307692308,0.004086538461538462,0.016346153846153847,0.13890796703296704,1.0,0,0.5316588878631592,0.6971741914749146,0.7372969388961792,3.846431255340576,11.187653541564941,0.049449920654296875,0.12285137176513672,0.21337555348873138,9.402655601501465,49.02165985107422,488.5111389160156,638633574400.0,0.28214285714285714,0.004842032967032967
2,k_only_per_group_g8_coordinate_analytic,8,k_only,analytic,29120,0.8658653846153846,0.018990384615384614,0.0037431318681318683,0.015247252747252747,0.09927884615384615,1.0,0,0.3480690121650696,0.4518134891986847,0.5154241919517517,5.895047664642334,17.8415584564209,0.03669261932373047,0.09959257394075394,0.17804858088493347,8.175609588623047,39.26079559326172,392.99261474609375,241052.046875,0.32177197802197804,0.006284340659340661
2,k_only_per_group_g4_coordinate_analytic,4,k_only,analytic,29120,0.8658653846153846,0.01771978021978022,0.0020260989010989013,0.01569368131868132,0.08705357142857142,1.0,0,0.2815368175506592,0.3828721046447754,0.43517690896987915,7.147277355194092,23.740381240844727,0.01917266845703125,0.090936079621315,0.1407696008682251,11.588248252868652,67.81249237060547,640.0964965820312,96829.5625,0.3339972527472528,0.007554945054945056
3,baseline_per_vector_qk_coordinate_analytic,0,qk,analytic,29120,0.8658653846153846,0.02287087912087912,0.003228021978021978,0.019642857142857142,0.28197115384615384,1.0,0,0.9817006587982178,1.1369259357452393,1.3852044343948364,1.9392961263656616,5.648662567138672,0.04864215850830078,0.1285351663827896,0.21982774138450623,18.81903839111328,102.8884048461914,1059.8956298828125,548352.125,0.0,0.0
