layer,decision,selected_system_strategy,selected_group_size,selected_refinement_rate,best_refinement_strategy,best_refinement_rate,naive_mismatch_rate,score_quantization_unstable,score_std,actual_sparsity
0,FP16 fallback,k_only_per_group_g4_coordinate_analytic,0,0.5073145604395605,k_only_per_group_g4_coordinate_analytic,0.5073145604395605,0.06335851648351648,False,214.5881805419922,0.8658653846153846
1,Conditional Go,k_only_per_group_g4_coordinate_analytic,0,0.2657967032967033,k_only_per_group_g4_coordinate_analytic,0.2657967032967033,0.031868131868131866,False,121.2702865600586,0.8658653846153846
2,Go,k_only_per_group_g16_coordinate_analytic,16,0.13890796703296704,k_only_per_group_g4_coordinate_analytic,0.08705357142857142,0.020432692307692308,False,12.471944808959961,0.8658653846153846
3,Go,k_only_per_group_g16_coordinate_analytic,16,0.0902815934065934,k_only_per_group_g4_coordinate_analytic,0.06559065934065934,0.015350274725274725,False,11.93785285949707,0.8658653846153846
4,Go,k_only_per_group_g16_coordinate_analytic,16,0.10398351648351649,k_only_per_group_g4_coordinate_analytic,0.06981456043956044,0.020226648351648353,False,9.922460556030273,0.8658653846153846
5,Go,k_only_per_group_g16_coordinate_analytic,16,0.09742445054945055,k_only_per_group_g4_coordinate_analytic,0.07348901098901099,0.02184065934065934,False,2.479304313659668,0.8658653846153846
6,Go,k_only_per_group_g16_coordinate_analytic,16,0.08372252747252747,k_only_per_group_g4_coordinate_analytic,0.06050824175824176,0.02383241758241758,False,6.13985538482666,0.8658653846153846
7,Go,k_only_per_group_g16_coordinate_analytic,16,0.0582760989010989,k_only_per_group_g4_coordinate_analytic,0.05188873626373627,0.01662087912087912,False,3.7327864170074463,0.8658653846153846
8,Go,k_only_per_group_g4_coordinate_analytic,4,0.10003434065934066,k_only_per_group_g4_coordinate_analytic,0.10003434065934066,0.018853021978021977,False,36.72123336791992,0.8658653846153846
9,Go,k_only_per_group_g16_coordinate_analytic,16,0.08028846153846154,k_only_per_group_g4_coordinate_analytic,0.06153846153846154,0.018166208791208793,False,9.03357219696045,0.8658653846153846
10,Go,k_only_per_group_g16_coordinate_analytic,16,0.09601648351648352,k_only_per_group_g4_coordinate_analytic,0.07074175824175824,0.019059065934065936,False,3.431797981262207,0.8658653846153846
11,Go,k_only_per_group_g16_coordinate_analytic,16,0.06476648351648352,k_only_per_group_g4_coordinate_analytic,0.057348901098901096,0.018131868131868133,False,9.015186309814453,0.8658653846153846
12,Go,k_only_per_group_g16_coordinate_analytic,16,0.06809752747252747,k_only_per_group_g4_coordinate_analytic,0.05563186813186813,0.018200549450549452,False,3.881010055541992,0.8658653846153846
13,Go,k_only_per_group_g16_coordinate_analytic,16,0.06304945054945055,k_only_per_group_g4_coordinate_analytic,0.05473901098901099,0.018543956043956044,False,2.7513840198516846,0.8658653846153846
14,Go,k_only_per_group_g16_coordinate_analytic,16,0.0733173076923077,k_only_per_group_g4_coordinate_analytic,0.05710851648351648,0.019883241758241757,False,3.3421545028686523,0.8658653846153846
15,Go,k_only_per_group_g16_coordinate_analytic,16,0.06844093406593407,k_only_per_group_g4_coordinate_analytic,0.05580357142857143,0.018956043956043955,False,4.5589447021484375,0.8658653846153846
16,Go,k_only_per_group_g16_coordinate_analytic,16,0.06078296703296703,k_only_per_group_g4_coordinate_analytic,0.054017857142857145,0.017342032967032968,False,4.48232364654541,0.8658653846153846
17,Go,k_only_per_group_g16_coordinate_analytic,16,0.07908653846153846,k_only_per_group_g4_coordinate_analytic,0.06390796703296703,0.015453296703296704,False,2.5547749996185303,0.8658653846153846
18,Go,k_only_per_group_g16_coordinate_analytic,16,0.07273351648351649,k_only_per_group_g4_coordinate_analytic,0.0564217032967033,0.018887362637362636,False,2.9920973777770996,0.8658653846153846
19,Go,k_only_per_group_g16_coordinate_analytic,16,0.0700206043956044,k_only_per_group_g4_coordinate_analytic,0.05525412087912088,0.016483516483516484,False,3.432101249694824,0.8658653846153846
20,Go,k_only_per_group_g16_coordinate_analytic,16,0.09096840659340659,k_only_per_group_g4_coordinate_analytic,0.06881868131868132,0.01936813186813187,False,1.9405713081359863,0.8658653846153846
21,Go,k_only_per_group_g16_coordinate_analytic,16,0.08492445054945055,k_only_per_group_g4_coordinate_analytic,0.0674793956043956,0.015247252747252747,False,1.86210036277771,0.8658653846153846
22,Go,k_only_per_group_g16_coordinate_analytic,16,0.07458791208791209,k_only_per_group_g4_coordinate_analytic,0.0604739010989011,0.01462912087912088,False,2.457568645477295,0.8658653846153846
23,Go,k_only_per_group_g16_coordinate_analytic,16,0.0771978021978022,k_only_per_group_g4_coordinate_analytic,0.059375,0.022115384615384617,False,3.855163812637329,0.8658653846153846
