layer,block_size,target_sparsity,mask_type,local_blocks,local_budget_overflow_rate,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,quality_pass,strong_quality_pass
12,16,0.0,dense,0,0.0,0.0,1.0,1.0,1.0,1.0000001192092896,1.0976302089460432e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.4990234375,True,True
12,16,0.5,random,0,0.0,0.5047348484848485,0.4952651515151515,0.48054131865501404,0.47274619340896606,0.936265766620636,0.5194586515426636,0.617184579372406,1.146591067314148,0.7809922099113464,0.19866493344306946,1.0054352283477783,12.661639213562012,0.7518877301897322,False,False
12,16,0.5,mean_pooled_score,0,0.0,0.5454545454545454,0.45454545454545453,0.6966168284416199,0.7645955085754395,0.995994508266449,0.3033831715583801,0.46032199263572693,1.0341315269470215,0.9107884168624878,0.8202729821205139,0.5442663431167603,7.441166877746582,0.7787039620535714,False,False
12,16,0.5,oracle_block_mass,0,0.0,0.48484848484848486,0.5151515151515151,0.9250926375389099,0.9589596390724182,0.9994905591011047,0.07490731030702591,0.09165766090154648,0.24149882793426514,0.9873741865158081,0.9766491651535034,0.14981462061405182,1.5988060235977173,0.7465711321149553,True,False
12,16,0.5,local_window,1,0.0,0.25757575757575757,0.7424242424242424,0.875828206539154,0.99824458360672,1.0000001192092896,0.12417177855968475,0.20481352508068085,0.6855531334877014,0.993928074836731,0.9861361384391785,0.2483435571193695,3.0799710750579834,0.6318359375,False,False
12,16,0.5,local_window,2,0.0,0.25757575757575757,0.7424242424242424,0.875828206539154,0.99824458360672,1.0000001192092896,0.12417177855968475,0.20481352508068085,0.6855531334877014,0.993928074836731,0.9861361384391785,0.2483435571193695,3.0799710750579834,0.6318359375,False,False
12,16,0.5,local_window,4,0.0,0.25757575757575757,0.7424242424242424,0.875828206539154,0.99824458360672,1.0000001192092896,0.12417177855968475,0.20481352508068085,0.6855531334877014,0.993928074836731,0.9861361384391785,0.2483435571193695,3.0799710750579834,0.6318359375,False,False
12,16,0.5,local_plus_score,1,1.0,0.48484848484848486,0.5151515151515151,0.7882183790206909,0.8449681997299194,0.9991138577461243,0.21178165078163147,0.36040496826171875,0.9753194451332092,0.9757906198501587,0.9503632187843323,0.42356330156326294,5.142661094665527,0.7490234375,False,False
12,16,0.5,local_plus_score,2,1.0,0.4829545454545454,0.5170454545454546,0.7908453941345215,0.848333477973938,0.9996041655540466,0.20915457606315613,0.3472549021244049,0.9536111354827881,0.9789826273918152,0.9578448534011841,0.41830918192863464,5.081408977508545,0.748046875,False,False
12,16,0.5,local_plus_score,4,1.0,0.4734848484848485,0.5265151515151515,0.8053865432739258,0.8644496202468872,0.9999999403953552,0.1946134716272354,0.3273898661136627,0.9103102684020996,0.9847673177719116,0.9690282344818115,0.3892269432544708,4.7417778968811035,0.7431640625,False,False
12,16,0.5,local_plus_oracle,1,1.0,0.48484848484848486,0.5151515151515151,0.90876704454422,0.9582200050354004,0.9994905591011047,0.09123293310403824,0.1310141384601593,0.27278485894203186,0.9831771850585938,0.9722483158111572,0.18246586620807648,2.0138630867004395,0.7490234375,True,False
