mask_type,target_sparsity,mean_kept_mass,mean_cosine,mean_l2_rel,mean_work_frac,mean_oracle_gap,quality_pass_count
aglr_adaptive_m0.90,0.4,0.7728370353579521,0.9530874155461788,0.3266397099941969,0.5559895833333334,0.1587519720196724,0
aglr_adaptive_m0.90,0.5,0.7728370353579521,0.9530874155461788,0.3266397099941969,0.5559895833333334,0.1119152083992958,0
aglr_adaptive_m0.90,0.6,0.7728370353579521,0.9530874155461788,0.3266397099941969,0.5559895833333334,0.0722096636891365,0
aglr_adaptive_m0.95,0.4,0.7825427539646626,0.9563349708914757,0.31461582239717245,0.5714708468614719,0.14904625341296196,0
aglr_adaptive_m0.95,0.5,0.7825427539646626,0.9563349708914757,0.31461582239717245,0.5714708468614719,0.10220948979258537,0
aglr_adaptive_m0.95,0.6,0.7825427539646626,0.9563349708914757,0.31461582239717245,0.5714708468614719,0.06250394508242607,0
landmark,0.4,0.8531019538640976,0.9805698469281197,0.19998770952224731,0.6268939393939394,0.07848705351352692,0
landmark,0.5,0.7709406614303589,0.9583437666296959,0.3239383324980736,0.5151515151515151,0.11381158232688904,0
landmark,0.6,0.7189667224884033,0.9467472434043884,0.3915686644613743,0.42424242424242425,0.1260799765586853,0
local_plus_landmark,0.4,0.8440213464200497,0.9763716235756874,0.21504771150648594,0.6268939393939394,0.08756766095757484,0
local_plus_landmark,0.5,0.7638065591454506,0.9544663056731224,0.33289172127842903,0.5160984848484849,0.12094568461179733,0
local_plus_landmark,0.6,0.7081299908459187,0.9416521936655045,0.40318955294787884,0.4251893939393939,0.13691670820116997,0
local_window,0.4,0.8878437280654907,0.9745728671550751,0.15319550782442093,0.8276515151515151,0.04374527931213379,0
local_window,0.5,0.827271968126297,0.9638631939888,0.20840118825435638,0.7424242424242424,0.05748027563095093,0
local_window,0.6,0.7746526300907135,0.9543438851833344,0.2641311287879944,0.6022727272727273,0.07039406895637512,0
mean_pooled_score,0.4,0.7692257463932037,0.9360805749893188,0.3154163211584091,0.5643939393939394,0.16236326098442078,0
mean_pooled_score,0.5,0.6922296583652496,0.8944202363491058,0.4060995280742645,0.45454545454545453,0.1925225853919983,0
mean_pooled_score,0.6,0.637225866317749,0.8798527419567108,0.48223650455474854,0.36363636363636365,0.2078208327293396,0
oracle_block_mass,0.4,0.9315890073776245,0.9938929975032806,0.07481841370463371,0.6268939393939394,0.0,0
oracle_block_mass,0.5,0.8847522437572479,0.9850250780582428,0.12494318559765816,0.5151515151515151,0.0,0
oracle_block_mass,0.6,0.8450466990470886,0.9784797132015228,0.16547327116131783,0.42424242424242425,0.0,0
random,0.4,0.5806691646575928,0.8451619148254395,0.4629756659269333,0.5964556277056277,0.35091984272003174,0
random,0.5,0.4796692728996277,0.7948914468288422,0.5648279190063477,0.4952651515151515,0.40508297085762024,0
random,0.6,0.38289813697338104,0.7293476164340973,0.671579897403717,0.39745670995670995,0.4621485620737076,0
