layer,target_sparsity,mask_type,oracle_gap_mass,oracle_gap_l2,improvement_over_mean_pooled_mass,improvement_over_mean_pooled_l2
0,0.3,mean_pooled_score,0.046323180198669434,0.033737814985215664,0.9208851456642151,-0.04830830544233322
0,0.3,oracle_block_mass,0.03279167413711548,0.014570490457117558,0.9672083258628845,-0.014570490457117558
0,0.3,aglr_antidiagonal_logsumexp,0.03404498100280762,0.02161357458680868,0.012278199195861816,0.012124240398406982
0,0.3,aglr_antidiagonal_topk_mean,0.022195935249328613,0.013914273120462894,0.02412724494934082,0.01982354186475277
0,0.4,mean_pooled_score,0.058421552181243896,0.04298489913344383,0.8885927200317383,-0.06564660370349884
0,0.4,oracle_block_mass,0.05298572778701782,0.022661704570055008,0.9470142722129822,-0.022661704570055008
0,0.4,aglr_antidiagonal_logsumexp,0.049195826053619385,0.031646326184272766,0.009225726127624512,0.011338572949171066
0,0.4,aglr_antidiagonal_topk_mean,0.03644591569900513,0.023650292307138443,0.02197563648223877,0.01933460682630539
0,0.5,mean_pooled_score,0.07714879512786865,0.06057154759764671,0.8403719067573547,-0.09607865661382675
0,0.5,oracle_block_mass,0.08247929811477661,0.03550710901618004,0.9175207018852234,-0.03550710901618004
0,0.5,aglr_antidiagonal_logsumexp,0.06195342540740967,0.040408458560705185,0.015195369720458984,0.02016308903694153
0,0.5,aglr_antidiagonal_topk_mean,0.04568886756896973,0.029733870178461075,0.031459927558898926,0.03083767741918564
0,0.6,mean_pooled_score,0.08969253301620483,0.07359473034739494,0.8010231256484985,-0.11921278387308121
0,0.6,oracle_block_mass,0.10928434133529663,0.045618053525686264,0.8907156586647034,-0.045618053525686264
0,0.6,aglr_antidiagonal_logsumexp,0.07533824443817139,0.05397918447852135,0.014354288578033447,0.019615545868873596
0,0.6,aglr_antidiagonal_topk_mean,0.06216132640838623,0.04557163640856743,0.027531206607818604,0.028023093938827515
1,0.3,mean_pooled_score,0.04447239637374878,0.03426872752606869,0.9056810736656189,-0.06079641729593277
1,0.3,oracle_block_mass,0.049846529960632324,0.026527689769864082,0.9501534700393677,-0.026527689769864082
1,0.3,aglr_antidiagonal_logsumexp,0.016491353511810303,0.008828351274132729,0.027981042861938477,0.02544037625193596
1,0.3,aglr_antidiagonal_topk_mean,0.014406323432922363,0.008516738191246986,0.030066072940826416,0.0257519893348217
1,0.4,mean_pooled_score,0.05047726631164551,0.04205095395445824,0.8710477948188782,-0.08234047889709473
1,0.4,oracle_block_mass,0.07847493886947632,0.04028952494263649,0.9215250611305237,-0.04028952494263649
1,0.4,aglr_antidiagonal_logsumexp,0.023395180702209473,0.013705570250749588,0.027082085609436035,0.02834538370370865
1,0.4,aglr_antidiagonal_topk_mean,0.01927560567855835,0.012536618858575821,0.031201660633087158,0.029514335095882416
1,0.5,mean_pooled_score,0.06173771619796753,0.05723598599433899,0.8204624056816101,-0.11936286836862564
1,0.5,oracle_block_mass,0.11779987812042236,0.06212688237428665,0.8822001218795776,-0.06212688237428665
1,0.5,aglr_antidiagonal_logsumexp,0.023055076599121094,0.013336822390556335,0.038682639598846436,0.043899163603782654
1,0.5,aglr_antidiagonal_topk_mean,0.017784178256988525,0.01121615618467331,0.043953537940979004,0.04601982980966568
1,0.6,mean_pooled_score,0.06547307968139648,0.064406618475914,0.7826042175292969,-0.1445128619670868
1,0.6,oracle_block_mass,0.15192270278930664,0.08010624349117279,0.8480772972106934,-0.08010624349117279
1,0.6,aglr_antidiagonal_logsumexp,0.02476823329925537,0.017827779054641724,0.04070484638214111,0.04657883942127228
1,0.6,aglr_antidiagonal_topk_mean,0.01940441131591797,0.015631400048732758,0.046068668365478516,0.048775218427181244
2,0.3,mean_pooled_score,0.051178574562072754,0.06678067520260811,0.914829671382904,-0.09929166734218597
2,0.3,oracle_block_mass,0.03399175405502319,0.032510992139577866,0.9660082459449768,-0.032510992139577866
2,0.3,aglr_antidiagonal_logsumexp,0.025858640670776367,0.028007928282022476,0.025319933891296387,0.03877274692058563
2,0.3,aglr_antidiagonal_topk_mean,0.018903613090515137,0.0204751156270504,0.03227496147155762,0.04630555957555771
2,0.4,mean_pooled_score,0.05992579460144043,0.09367258474230766,0.882999837398529,-0.1481035202741623
2,0.4,oracle_block_mass,0.05707436800003052,0.05443093553185463,0.9429256319999695,-0.05443093553185463
2,0.4,aglr_antidiagonal_logsumexp,0.03496581315994263,0.0405709408223629,0.024959981441497803,0.05310164391994476
2,0.4,aglr_antidiagonal_topk_mean,0.025352537631988525,0.029718268662691116,0.034573256969451904,0.06395431607961655
2,0.5,mean_pooled_score,0.06899738311767578,0.10027967393398285,0.8395057320594788,-0.19480733573436737
2,0.5,oracle_block_mass,0.09149688482284546,0.09452766180038452,0.9085031151771545,-0.09452766180038452
2,0.5,aglr_antidiagonal_logsumexp,0.041177451610565186,0.04925218224525452,0.027819931507110596,0.05102749168872833
2,0.5,aglr_antidiagonal_topk_mean,0.027213573455810547,0.03307773172855377,0.041783809661865234,0.06720194220542908
2,0.6,mean_pooled_score,0.07645708322525024,0.12079411745071411,0.8023870587348938,-0.2465389221906662
2,0.6,oracle_block_mass,0.12115585803985596,0.1257448047399521,0.878844141960144,-0.1257448047399521
2,0.6,aglr_antidiagonal_logsumexp,0.050020039081573486,0.06845773756504059,0.026437044143676758,0.05233637988567352
2,0.6,aglr_antidiagonal_topk_mean,0.031517863273620605,0.045147791504859924,0.04493921995162964,0.07564632594585419
3,0.3,mean_pooled_score,0.10847258567810059,0.34813577868044376,0.8765299916267395,-0.372096449136734
3,0.3,oracle_block_mass,0.014997422695159912,0.023960670456290245,0.9850025773048401,-0.023960670456290245
3,0.3,aglr_antidiagonal_logsumexp,0.00868535041809082,0.01139196939766407,0.09978723526000977,0.3367438092827797
3,0.3,aglr_antidiagonal_topk_mean,0.010227739810943604,0.011856531724333763,0.09824484586715698,0.33627924695611
3,0.4,mean_pooled_score,0.14235544204711914,0.4768945761024952,0.8310651779174805,-0.5144509077072144
3,0.4,oracle_block_mass,0.02657938003540039,0.03755633160471916,0.9734206199645996,-0.03755633160471916
3,0.4,aglr_antidiagonal_logsumexp,0.022200465202331543,0.06584403291344643,0.1201549768447876,0.41105054318904877
3,0.4,aglr_antidiagonal_topk_mean,0.02313518524169922,0.0700950063765049,0.11922025680541992,0.4067995697259903
3,0.5,mean_pooled_score,0.18747615814208984,0.5997577458620071,0.7676364183425903,-0.663476288318634
3,0.5,oracle_block_mass,0.044887423515319824,0.06371854245662689,0.9551125764846802,-0.06371854245662689
3,0.5,aglr_antidiagonal_logsumexp,0.030945420265197754,0.10784938931465149,0.1565307378768921,0.49190835654735565
3,0.5,aglr_antidiagonal_topk_mean,0.03162217140197754,0.11665044724941254,0.1558539867401123,0.4831072986125946
3,0.6,mean_pooled_score,0.2454577088356018,0.8289024755358696,0.6937702298164368,-0.9118685126304626
3,0.6,oracle_block_mass,0.060772061347961426,0.08296603709459305,0.9392279386520386,-0.08296603709459305
3,0.6,aglr_antidiagonal_logsumexp,0.04504436254501343,0.16707929223775864,0.20041334629058838,0.661823183298111
3,0.6,aglr_antidiagonal_topk_mean,0.04979276657104492,0.20034559816122055,0.19566494226455688,0.628556877374649
4,0.3,mean_pooled_score,0.0964018702507019,0.196872316300869,0.8649073839187622,-0.2285129725933075
4,0.3,oracle_block_mass,0.03869074583053589,0.03164065629243851,0.9613092541694641,-0.03164065629243851
4,0.3,aglr_antidiagonal_logsumexp,0.01611185073852539,0.020307857543230057,0.08029001951217651,0.17656445875763893
4,0.3,aglr_antidiagonal_topk_mean,0.01672440767288208,0.021509524434804916,0.07967746257781982,0.17536279186606407
4,0.4,mean_pooled_score,0.1275080442428589,0.27521009370684624,0.8124975562095642,-0.3239072263240814
4,0.4,oracle_block_mass,0.059994399547576904,0.048697132617235184,0.9400056004524231,-0.048697132617235184
4,0.4,aglr_antidiagonal_logsumexp,0.03026747703552246,0.04220976307988167,0.09724056720733643,0.23300033062696457
4,0.4,aglr_antidiagonal_topk_mean,0.027812838554382324,0.03976988419890404,0.09969520568847656,0.2354402095079422
4,0.5,mean_pooled_score,0.17097532749176025,0.3711007460951805,0.7393811941146851,-0.4475453197956085
4,0.5,oracle_block_mass,0.08964347839355469,0.07644457370042801,0.9103565216064453,-0.07644457370042801
4,0.5,aglr_antidiagonal_logsumexp,0.038089632987976074,0.056218959391117096,0.13288569450378418,0.3148817867040634
4,0.5,aglr_antidiagonal_topk_mean,0.037808239459991455,0.05649857968091965,0.1331670880317688,0.31460216641426086
4,0.6,mean_pooled_score,0.21057021617889404,0.47739388048648834,0.6738787889480591,-0.575174868106842
4,0.6,oracle_block_mass,0.11555099487304688,0.0977809876203537,0.8844490051269531,-0.0977809876203537
4,0.6,aglr_antidiagonal_logsumexp,0.0471118688583374,0.07447221875190735,0.16345834732055664,0.402921661734581
4,0.6,aglr_antidiagonal_topk_mean,0.04800361394882202,0.07647518813610077,0.16256660223007202,0.4009186923503876
5,0.3,mean_pooled_score,0.05897754430770874,0.1094341054558754,0.9001476168632507,-0.15790806710720062
5,0.3,oracle_block_mass,0.04087483882904053,0.048473961651325226,0.9591251611709595,-0.048473961651325226
5,0.3,aglr_antidiagonal_logsumexp,0.011085808277130127,0.011633407324552536,0.04789173603057861,0.09780069813132286
5,0.3,aglr_antidiagonal_topk_mean,0.011738777160644531,0.012915033847093582,0.04723876714706421,0.09651907160878181
5,0.4,mean_pooled_score,0.08572202920913696,0.18743402510881424,0.8502374291419983,-0.26243114471435547
5,0.4,oracle_block_mass,0.06404054164886475,0.07499711960554123,0.9359594583511353,-0.07499711960554123
5,0.4,aglr_antidiagonal_logsumexp,0.022847235202789307,0.04148681461811066,0.06287479400634766,0.14594721049070358
5,0.4,aglr_antidiagonal_topk_mean,0.023491203784942627,0.04270821809768677,0.062230825424194336,0.14472580701112747
5,0.5,mean_pooled_score,0.11955374479293823,0.2628304809331894,0.7845036387443542,-0.37768521904945374
5,0.5,oracle_block_mass,0.09594261646270752,0.11485473811626434,0.9040573835372925,-0.11485473811626434
5,0.5,aglr_antidiagonal_logsumexp,0.030028045177459717,0.0636211484670639,0.08952569961547852,0.1992093324661255
5,0.5,aglr_antidiagonal_topk_mean,0.030764877796173096,0.06474357843399048,0.08878886699676514,0.1980869024991989
5,0.6,mean_pooled_score,0.14034581184387207,0.32946278154850006,0.7348559498786926,-0.4788503050804138
5,0.6,oracle_block_mass,0.1247982382774353,0.14938752353191376,0.8752017617225647,-0.14938752353191376
5,0.6,aglr_antidiagonal_logsumexp,0.04158759117126465,0.09544306993484497,0.09875822067260742,0.2340197116136551
5,0.6,aglr_antidiagonal_topk_mean,0.04167693853378296,0.09700018167495728,0.09866887331008911,0.23246259987354279
8,0.3,mean_pooled_score,0.06887364387512207,0.11102734692394733,0.9179996848106384,-0.12070518732070923
8,0.3,oracle_block_mass,0.013126671314239502,0.009677840396761894,0.9868733286857605,-0.009677840396761894
8,0.3,aglr_antidiagonal_logsumexp,0.012346386909484863,0.010363345965743065,0.05652725696563721,0.10066400095820427
8,0.3,aglr_antidiagonal_topk_mean,0.009819984436035156,0.007680721580982208,0.059053659439086914,0.10334662534296513
8,0.4,mean_pooled_score,0.09012895822525024,0.1517962608486414,0.8876054883003235,-0.16863076388835907
8,0.4,oracle_block_mass,0.02226555347442627,0.016834503039717674,0.9777344465255737,-0.016834503039717674
8,0.4,aglr_antidiagonal_logsumexp,0.02045607566833496,0.021434886381030083,0.06967288255691528,0.1303613744676113
8,0.4,aglr_antidiagonal_topk_mean,0.016854047775268555,0.01914863847196102,0.07327491044998169,0.13264762237668037
8,0.5,mean_pooled_score,0.11029917001724243,0.17269007116556168,0.8512277007102966,-0.20747649669647217
8,0.5,oracle_block_mass,0.03847312927246094,0.03478642553091049,0.9615268707275391,-0.03478642553091049
8,0.5,aglr_antidiagonal_logsumexp,0.021923840045928955,0.021246135234832764,0.08837532997131348,0.1514439359307289
8,0.5,aglr_antidiagonal_topk_mean,0.020959198474884033,0.02297869324684143,0.0893399715423584,0.14971137791872025
8,0.6,mean_pooled_score,0.13419240713119507,0.2201313078403473,0.8151201009750366,-0.26520076394081116
8,0.6,oracle_block_mass,0.05068749189376831,0.04506945610046387,0.9493125081062317,-0.04506945610046387
8,0.6,aglr_antidiagonal_logsumexp,0.02729940414428711,0.029551558196544647,0.10689300298690796,0.19057974964380264
8,0.6,aglr_antidiagonal_topk_mean,0.027677178382873535,0.03392969071865082,0.10651522874832153,0.18620161712169647
