layer,block_size,target_sparsity,local_blocks,aggregation,mask_type,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,output_cosine_mean,output_l2_relative_mean,kept_attention_mass_p50,kept_attention_mass_p90,output_l2_relative_p90,output_cosine_p10,token_mask_sparsity,strict_pass,practical_pass,relaxed_pass,quality_only_pass,oracle_gap_mass,oracle_gap_l2,improvement_over_mean_pooled_mass,improvement_over_mean_pooled_l2,frontier_rank
0,8,0.3,0,topk_mean,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9535223841667175,0.9983710050582886,0.02395475283265114,0.9978563785552979,1.0,0.08583545684814453,0.9965277910232544,0.6471042633056641,False,False,False,True,0.017795026302337646,0.007910674437880516,0.013563036918640137,0.013664890080690384,0
0,8,0.5,0,topk_mean,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.8941900134086609,0.9925362467765808,0.05455484986305237,0.9886326789855957,0.9999999403953552,0.18405336141586304,0.9841383695602417,0.7493095397949219,False,False,True,False,0.03371083736419678,0.013686351478099823,0.015558421611785889,0.015471555292606354,1
0,8,0.65,0,topk_mean,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.8417925834655762,0.987278401851654,0.08055281639099121,0.9669663906097412,0.9999998211860657,0.25240927934646606,0.9708019495010376,0.8229751586914062,False,False,False,False,0.045087337493896484,0.019952725619077682,0.021098554134368896,0.020753704011440277,2
0,8,0.7,0,topk_mean,aglr_antidiagonal,0.6925872093023255,0.3074127906976744,0.8172703385353088,0.9838719367980957,0.09527678042650223,0.9525666832923889,0.9999995827674866,0.2878817617893219,0.9615713953971863,0.8481063842773438,False,False,False,False,0.04905104637145996,0.022892378270626068,0.027491450309753418,0.027079090476036072,3
0,8,0.75,0,topk_mean,aglr_antidiagonal,0.7441860465116279,0.2558139534883721,0.7875223755836487,0.9791428446769714,0.11501221358776093,0.9294776916503906,0.999997615814209,0.33575379848480225,0.9473587274551392,0.8739795684814453,False,False,False,False,0.054240643978118896,0.028304047882556915,0.03416508436203003,0.0344836562871933,4
1,8,0.3,2,topk_mean,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9407382607460022,0.9982929229736328,0.032936520874500275,0.9676222801208496,0.9999405145645142,0.08411236107349396,0.9974551200866699,0.64715576171875,False,False,False,True,0.012586236000061035,0.007230289280414581,0.01681351661682129,0.016025207936763763,0
1,8,0.5,0,topk_mean,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.8712990880012512,0.9939121603965759,0.07216513901948929,0.912003219127655,0.999361515045166,0.1779574602842331,0.9906691908836365,0.7494716644287109,False,False,True,False,0.0195692777633667,0.01269785687327385,0.019262075424194336,0.018766924738883972,1
1,8,0.5,2,topk_mean,aglr_antidiagonal,0.4960029069767442,0.5039970930232558,0.8736657500267029,0.9945592284202576,0.06847522407770157,0.9145940542221069,0.9994802474975586,0.17410987615585327,0.9909795522689819,0.74945068359375,False,False,True,False,0.01720261573791504,0.00900794193148613,0.021628737449645996,0.022456839680671692,2
1,8,0.65,0,topk_mean,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.8139806985855103,0.9901260137557983,0.10576605051755905,0.8548070788383484,0.9980340003967285,0.27234947681427,0.9801831841468811,0.8232479095458984,False,False,False,False,0.021925270557403564,0.016061007976531982,0.021961331367492676,0.022172115743160248,3
1,8,0.65,2,topk_mean,aglr_antidiagonal,0.6424418604651163,0.35755813953488375,0.8160964250564575,0.9907789826393127,0.10200381278991699,0.8587709665298462,0.9983412027359009,0.26747632026672363,0.9808700084686279,0.8232421875,False,False,False,False,0.0198095440864563,0.012298770248889923,0.02407705783843994,0.025934353470802307,4
1,8,0.7,0,topk_mean,aglr_antidiagonal,0.6925872093023255,0.3074127906976744,0.7869310975074768,0.9871412515640259,0.1262568235397339,0.8280605673789978,0.9971362352371216,0.32506263256073,0.9728023409843445,0.8484439849853516,False,False,False,False,0.02233254909515381,0.018468722701072693,0.026278972625732422,0.02527165412902832,5
1,8,0.7,2,topk_mean,aglr_antidiagonal,0.6923449612403101,0.3076550387596899,0.7909881472587585,0.9885163903236389,0.11930405348539352,0.8328641653060913,0.9976091384887695,0.3156571388244629,0.9747204184532166,0.848388671875,False,False,False,False,0.01827549934387207,0.01151595264673233,0.03033602237701416,0.03222442418336868,6
1,8,0.75,0,topk_mean,aglr_antidiagonal,0.7441860465116279,0.2558139534883721,0.7554942965507507,0.9831482172012329,0.1505230963230133,0.7947232723236084,0.9958659410476685,0.39295530319213867,0.9635269641876221,0.8744239807128906,False,False,False,False,0.022623836994171143,0.020742714405059814,0.030668139457702637,0.03338676691055298,7
1,8,0.75,2,topk_mean,aglr_antidiagonal,0.7438226744186047,0.25617732558139533,0.7614055275917053,0.9855108857154846,0.1413053721189499,0.8021765947341919,0.9964459538459778,0.37755441665649414,0.9664128422737122,0.87432861328125,False,False,False,False,0.016712605953216553,0.011524990200996399,0.03657937049865723,0.042604491114616394,8
2,8,0.3,0,topk_mean,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9585407376289368,0.9973975419998169,0.04341486468911171,0.9823338985443115,0.9998250007629395,0.11313627660274506,0.9957306385040283,0.64715576171875,False,False,False,True,0.02682054042816162,0.022459881380200386,0.017178654670715332,0.02577093616127968,0
2,8,0.3,1,topk_mean,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9585407376289368,0.9973975419998169,0.04341486468911171,0.9823338985443115,0.9998250007629395,0.11313627660274506,0.9957306385040283,0.64715576171875,False,False,False,True,0.02682054042816162,0.022459881380200386,0.017178654670715332,0.02577093616127968,1
2,8,0.5,1,topk_mean,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.899718165397644,0.9890156388282776,0.11453203856945038,0.940434992313385,0.9988031387329102,0.2579880356788635,0.9793068170547485,0.74951171875,False,False,True,False,0.048504650592803955,0.0504431277513504,0.01907527446746826,0.02055060863494873,2
2,8,0.5,2,topk_mean,aglr_antidiagonal,0.4960029069767442,0.5039970930232558,0.9038046002388,0.990699291229248,0.10396643728017807,0.9427445530891418,0.9989485740661621,0.2477611005306244,0.9808928370475769,0.74945068359375,False,True,True,True,0.04441821575164795,0.039877526462078094,0.023161709308624268,0.03111620992422104,3
2,8,0.65,1,topk_mean,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.8472073674201965,0.9795427322387695,0.17856352031230927,0.8905438184738159,0.9971311688423157,0.42493629455566406,0.9512742757797241,0.82330322265625,False,False,False,False,0.0558398962020874,0.07497816532850266,0.02291005849838257,0.0358407199382782,4
2,8,0.65,2,topk_mean,aglr_antidiagonal,0.6424418604651163,0.35755813953488375,0.8515909910202026,0.9816460609436035,0.16698653995990753,0.8936656713485718,0.9974087476730347,0.4112631678581238,0.9553214907646179,0.8232421875,False,False,True,False,0.0514562726020813,0.06340118497610092,0.027293682098388672,0.04741770029067993,5
2,8,0.7,1,topk_mean,aglr_antidiagonal,0.6925872093023255,0.3074127906976744,0.8211697340011597,0.9728012681007385,0.2205686867237091,0.8672628402709961,0.9960988759994507,0.5199208855628967,0.9305668473243713,0.8485107421875,False,False,False,False,0.057013630867004395,0.09011094272136688,0.02794104814529419,0.033946096897125244,6
2,8,0.7,2,topk_mean,aglr_antidiagonal,0.6923449612403101,0.3076550387596899,0.8276453614234924,0.975743293762207,0.20209099352359772,0.8718088865280151,0.9964554905891418,0.4937658905982971,0.9373939037322998,0.848388671875,False,False,False,False,0.05053800344467163,0.0716332495212555,0.03441667556762695,0.05242379009723663,7
2,8,0.75,0,topk_mean,aglr_antidiagonal,0.7441860465116279,0.2558139534883721,0.7905851006507874,0.9626240730285645,0.2696845829486847,0.8389309644699097,0.9947004914283752,0.6460310220718384,0.9025212526321411,0.8744907379150391,False,False,False,False,0.05752694606781006,0.10389582812786102,0.033213675022125244,0.04315149784088135,8
2,8,0.75,1,topk_mean,aglr_antidiagonal,0.7441860465116279,0.2558139534883721,0.7907319664955139,0.963188111782074,0.27044442296028137,0.8389142155647278,0.9947004914283752,0.6434149146080017,0.9034889936447144,0.87451171875,False,False,False,False,0.057380080223083496,0.1046556681394577,0.03336054086685181,0.04239165782928467,9
2,8,0.75,2,topk_mean,aglr_antidiagonal,0.7438226744186047,0.25617732558139533,0.7989215850830078,0.9676942229270935,0.24816875159740448,0.8451529741287231,0.9951550960540771,0.6025273203849792,0.9123967885971069,0.87432861328125,False,False,False,False,0.0491904616355896,0.08237999677658081,0.0415501594543457,0.06466732919216156,10
4,8,0.3,0,topk_mean,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9622122645378113,0.9976577758789062,0.03691165894269943,0.996050238609314,0.9999721050262451,0.10482907295227051,0.9950106143951416,0.6471366882324219,False,False,False,True,0.007940292358398438,0.0069445837289094925,0.028393983840942383,0.05293187499046326,0
4,8,0.5,0,topk_mean,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.9096852540969849,0.9899376034736633,0.08676990121603012,0.9851375818252563,0.9997782707214355,0.2351859211921692,0.9780590534210205,0.7494411468505859,False,True,True,True,0.017496764659881592,0.018300630152225494,0.06644350290298462,0.13985159248113632,1
4,8,0.65,0,logsumexp,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.8588382601737976,0.9805919528007507,0.13496975600719452,0.97133868932724,0.9993726015090942,0.38237708806991577,0.9460169672966003,0.8231678009033203,False,False,True,False,0.0274735689163208,0.03419589251279831,0.10128450393676758,0.2329731434583664,2
4,8,0.65,0,topk_mean,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.858454167842865,0.98173987865448,0.13492606580257416,0.9704961776733398,0.9993762969970703,0.37686887383461,0.950608491897583,0.8231773376464844,False,False,True,False,0.027857661247253418,0.03415220230817795,0.10090041160583496,0.23301683366298676,3
4,8,0.7,0,logsumexp,aglr_antidiagonal,0.6925872093023255,0.3074127906976744,0.8361148238182068,0.9745784997940063,0.1597253829240799,0.9631492495536804,0.9991044998168945,0.4533957242965698,0.928229570388794,0.8483371734619141,False,False,False,False,0.029940247535705566,0.03882008045911789,0.12105381488800049,0.2750569134950638,4
4,8,0.75,0,logsumexp,aglr_antidiagonal,0.7441860465116279,0.2558139534883721,0.8100670576095581,0.9662984609603882,0.19196753203868866,0.9505724310874939,0.998711347579956,0.5450713634490967,0.9007525444030762,0.8742847442626953,False,False,False,False,0.0324169397354126,0.04767102003097534,0.14995336532592773,0.3478410989046097,5
5,8,0.3,0,logsumexp,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9626736044883728,0.9975665211677551,0.047218624502420425,0.9789761900901794,0.9995090961456299,0.10682354122400284,0.9948165416717529,0.6470756530761719,False,False,False,True,0.006337761878967285,0.007943056523799896,0.0258636474609375,0.05536658689379692,0
5,8,0.3,0,topk_mean,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9626985788345337,0.9976097941398621,0.047278907150030136,0.9790703058242798,0.9995193481445312,0.10878826677799225,0.9947041273117065,0.6470565795898438,False,False,False,True,0.0063127875328063965,0.008003339171409607,0.02588862180709839,0.05530630424618721,1
5,8,0.5,0,logsumexp,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.9113958477973938,0.9884052276611328,0.1120496392250061,0.9459069967269897,0.9977667927742004,0.24222566187381744,0.9735144376754761,0.7492904663085938,False,True,True,True,0.012342989444732666,0.017857976257801056,0.05462616682052612,0.12153822183609009,2
5,8,0.65,0,topk_mean,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.8649840354919434,0.9764519929885864,0.16989745199680328,0.9139958620071411,0.9957500696182251,0.36408817768096924,0.9388721585273743,0.8229923248291016,False,False,True,False,0.015400052070617676,0.02423037588596344,0.09541332721710205,0.24082104861736298,3
5,8,0.7,0,logsumexp,aglr_antidiagonal,0.6925872093023255,0.3074127906976744,0.8416337966918945,0.9669230580329895,0.20504547655582428,0.8971514701843262,0.9948289394378662,0.4304165840148926,0.9153989553451538,0.8481254577636719,False,False,False,False,0.017653822898864746,0.030631333589553833,0.11371999979019165,0.28543321788311005,4
