layer,decision,selected_block_size,selected_target_sparsity,selected_local_blocks,selected_aggregation,attention_tile_work_fraction,kept_attention_mass_mean,output_cosine_mean,output_l2_relative_mean,fallback_reason
0,conditional_relaxed,8,0.5,0,logsumexp,0.5038759689922481,0.8827815055847168,0.991000235080719,0.0616874173283577,
1,conditional_relaxed,8,0.5,0,logsumexp,0.5038759689922481,0.8645962476730347,0.9933867454528809,0.07562936097383499,
2,go_practical,8,0.5,2,topk_mean,0.5039970930232558,0.9038046002388,0.990699291229248,0.10396643728017807,
4,go_practical,8,0.5,0,logsumexp,0.5038759689922481,0.9069371223449707,0.9887157678604126,0.09061115235090256,
5,go_practical,8,0.5,0,logsumexp,0.5038759689922481,0.9113958477973938,0.9884052276611328,0.1120496392250061,
8,go_strict,8,0.75,0,logsumexp,0.2558139534883721,0.9032596945762634,0.9813488721847534,0.09436187893152237,
12,go_strict,8,0.65,0,logsumexp,0.35743701550387597,0.9134625792503357,0.990010678768158,0.08670448511838913,
13,go_strict,8,0.75,0,logsumexp,0.2558139534883721,0.9118185043334961,0.9824737310409546,0.10306210070848465,
16,go_strict,8,0.75,0,logsumexp,0.2558139534883721,0.9761039614677429,0.9820883870124817,0.07706543058156967,
20,go_strict,8,0.65,0,logsumexp,0.35743701550387597,0.9090391397476196,0.9916710257530212,0.09062765538692474,
22,quality_only_high_work,8,0.3,0,logsumexp,0.7070009689922481,0.9343019127845764,0.9923607110977173,0.08909603208303452,
23,conditional_relaxed,8,0.5,0,logsumexp,0.5038759689922481,0.8574862480163574,0.9842150807380676,0.14134421944618225,
